rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
0.0,bh_window,0.05,4,9334,9278,22,2,20,0.09090909090909091,0.012411347517730495,0.0002155636990730761,0.35714285714285715,0.0425531914893617,0.0425531914893617,0.002127659574468085,470000.0,20,20,0.0,241.65,246.5,241.65,1944.9617214980342
0.0,e_bh,0.05,4,9367,9102,11,0,11,0.0,0.0,0.0,0.04150943396226415,0.0,0.0,0.0,inf,20,11,0.44999999999999996,688.0,541.0,1286.65,inf
0.0,uncorrected,0.05,7,9097,9063,102,82,20,0.803921568627451,0.6397163120567376,0.009047776674390379,0.5882352941176471,1.7446808510638299,0.723404255319149,0.08723404255319149,11463.414634146342,20,20,0.0,123.35,120.5,123.35,92.93404648679645
0.0,bonferroni,0.05,7,9340,9281,20,0,20,0.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,inf,20,20,0.0,248.35,220.5,248.35,inf
0.0,bh_window,0.05,7,9337,9283,21,1,20,0.047619047619047616,0.0070921985815602835,0.00010772379618657762,0.37037037037037035,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,223.35,212.0,223.35,4208.64114618312
0.0,e_bh,0.05,7,9367,9107,11,0,11,0.0,0.0,0.0,0.04230769230769231,0.0,0.0,0.0,inf,20,11,0.44999999999999996,578.0,500.0,1253.35,inf
0.0,uncorrected,0.05,5,9030,8996,127,107,20,0.84251968503937,0.7516210739614995,0.011894175188972877,0.5882352941176471,2.276595744680851,0.851063829787234,0.11382978723404255,8785.046728971962,20,20,0.0,120.65,121.0,120.65,72.81431188538717
0.0,bonferroni,0.05,5,9340,9282,20,0,20,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,inf,20,20,0.0,230.65,229.0,230.65,inf
0.0,bh_window,0.05,5,9340,9286,20,0,20,0.0,0.0,0.0,0.37037037037037035,0.0,0.0,0.0,inf,20,20,0.0,210.65,216.0,210.65,inf
0.0,e_bh,0.05,5,9349,9167,17,0,17,0.0,0.0,0.0,0.09340659340659341,0.0,0.0,0.0,inf,20,17,0.15000000000000002,705.1764705882352,348.0,850.65,inf
0.0,uncorrected,0.05,6,9016,8979,132,112,20,0.8484848484848485,0.7418439716312056,0.012473549393028176,0.5405405405405406,2.382978723404255,0.8297872340425532,0.11914893617021277,8392.857142857143,20,20,0.0,148.8,146.5,148.8,56.403609831029186
0.0,bonferroni,0.05,6,9337,9276,21,1,20,0.047619047619047616,0.02127659574468085,0.00010780508840017249,0.32786885245901637,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,253.8,243.0,253.8,3703.7037037037035
0.0,bh_window,0.05,6,9337,9279,21,1,20,0.047619047619047616,0.02127659574468085,0.00010777023386140747,0.3448275862068966,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,238.8,235.0,238.8,3936.3484087102174
0.0,e_bh,0.05,6,9373,9036,17,0,17,0.0,0.0,0.0,0.050445103857566766,0.0,0.0,0.0,inf,20,17,0.15000000000000002,1536.0588235294117,1555.0,1633.8,inf
0.3,uncorrected,0.05,0,9062,9030,119,99,20,0.8319327731092437,0.5839918946301925,0.010963455149501661,0.625,2.106382978723404,0.6382978723404256,0.10531914893617021,9494.949494949495,20,20,0.0,121.05,124.5,121.05,78.43824448533246
0.3,bonferroni,0.05,0,9337,9282,21,1,20,0.047619047619047616,0.02127659574468085,0.00010773540185304891,0.36363636363636365,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,236.05,239.0,236.05,3982.2071595001057
0.3,bh_window,0.05,0,9337,9285,21,1,20,0.047619047619047616,0.02127659574468085,0.00010770059235325795,0.38461538461538464,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,221.05,227.5,221.05,4252.431576566388
0.3,e_bh,0.05,0,9367,9054,11,0,11,0.0,0.0,0.0,0.03514376996805112,0.0,0.0,0.0,inf,20,11,0.44999999999999996,775.7272727272727,624.0,1526.05,inf
0.0,uncorrected,0.05,8,9041,9006,121,101,20,0.8347107438016529,0.7354609929078015,0.011214745725072174,0.5714285714285714,2.148936170212766,0.851063829787234,0.1074468085106383,9306.930693069307,20,20,0.0,115.85,115.5,115.85,80.3360439626181
0.0,bonferroni,0.05,8,9337,9281,21,1,20,0.047619047619047616,0.02127659574468085,0.00010774701002047193,0.35714285714285715,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,220.85,224.0,220.85,4256.2825447136065
0.0,bh_window,0.05,8,9331,9280,23,3,20,0.13043478260869565,0.028368794326241134,0.0003232758620689655,0.39215686274509803,0.06382978723404255,0.0425531914893617,0.0031914893617021275,313333.3333333333,20,20,0.0,195.85,186.0,195.85,1599.8638413752021
0.0,e_bh,0.05,8,9364,9101,12,0,12,0.0,0.0,0.0,0.045627376425855515,0.0,0.0,0.0,inf,20,12,0.4,834.1666666666666,621.0,1255.85,inf
0.0,uncorrected,0.05,9,9003,8969,134,114,20,0.8507462686567164,0.774468085106383,0.012710447095551344,0.5882352941176471,2.425531914893617,0.8723404255319149,0.12127659574468085,8245.61403508772,20,20,0.0,123.4,114.5,123.4,66.82021098126191
