n_streams,scenario,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,fdp,window_fdp,mdr,mean_delay
100,1 event,bonferroni,0.001,0.0,504.3333333333333,0.0,0.0,0.05833333333333335,374.6822038757023
100,1 event,bonferroni,0.01,0.0010638297872340426,316.0,0.021739130434782608,0.0070921985815602835,0.00833333333333334,295.780701754386
100,1 event,bonferroni,0.05,0.005319148936170213,235.16666666666666,0.09717868338557994,0.04964539007092198,0.0,235.16666666666666
100,1 event,bonferroni,0.1,0.00602836879432624,214.33333333333334,0.10459433040078203,0.04609929078014185,0.0,214.33333333333334
100,1 event,bonferroni,0.2,0.009574468085106383,212.66666666666666,0.1499597423510467,0.07801418439716311,0.00833333333333334,190.38596491228068
100,1 event,storey_bh,1e-05,0.0,915.1666666666666,0.0,0.0,0.18333333333333335,544.7309368191721
100,1 event,storey_bh,0.0001,0.0,611.8333333333334,0.0,0.0,0.09166666666666667,418.92225662194704
100,1 event,storey_bh,0.001,0.0014184397163120568,368.5,0.027777777777777776,0.0070921985815602835,0.025000000000000005,313.83138401559455
100,1 event,storey_bh,0.01,0.0070921985815602835,236.0,0.10437710437710439,0.021463232549458755,0.00833333333333334,215.12280701754386
100,1 event,storey_bh,0.05,0.0698581560283688,175.16666666666666,0.395357061789646,0.029719689294157376,0.0,175.16666666666666
100,1 event,storey_bh,0.1,0.08581560283687943,155.16666666666666,0.43627736736241135,0.044362924920518465,0.0,155.16666666666666
100,1 event,storey_bh,0.2,0.2202127659574468,151.0,0.630153951042155,0.06954294720252167,0.0,151.0
100,1 event,uncorrected,1e-05,0.0,509.3333333333333,0.0,0.0,0.05833333333333335,380.1509001261323
100,1 event,uncorrected,0.0001,0.0010638297872340426,317.6666666666667,0.021739130434782608,0.0070921985815602835,0.00833333333333334,297.49122807017545
100,1 event,uncorrected,0.001,0.006382978723404255,215.16666666666666,0.10795454545454546,0.04609929078014185,0.0,215.16666666666666
100,1 event,uncorrected,0.01,0.03971631205673759,156.0,0.4294463855719813,0.22006675010429702,0.0,156.0
100,1 event,uncorrected,0.05,0.13297872340425532,130.16666666666666,0.7285785469292233,0.514361636239527,0.0,130.16666666666666
100,1 event,uncorrected,0.1,0.23829787234042554,115.16666666666667,0.837556927574854,0.6771383722679393,0.0,115.16666666666667
100,1 event,uncorrected,0.2,0.46205673758865246,105.16666666666667,0.9141741361127762,0.8389968975075357,0.0,105.16666666666667
100,2 events,BatchBH,1e-05,0.0,1990.6666666666667,0.0,0.0,0.7416666666666667,983.4967948717949
100,2 events,BatchBH,0.0001,0.0,1714.0,0.0,0.0,0.6333333333333333,795.5057870370371
100,2 events,BatchBH,0.001,0.0,1114.0,0.0,0.0,0.27499999999999997,683.8235042735042
100,2 events,BatchBH,0.01,0.0,628.1666666666666,0.0,0.0,0.09166666666666667,460.2942143962848
100,2 events,BatchBH,0.05,0.0003546099290780142,407.3333333333333,0.007936507936507936,0.0035460992907801418,0.025000000000000022,371.80263157894734
100,2 events,BatchBH,0.1,0.0003546099290780142,346.5,0.007936507936507936,0.0035460992907801418,0.00833333333333334,340.33771929824564
100,2 events,BatchBH,0.2,0.0007092198581560284,294.8333333333333,0.015151515151515152,0.003868471953578336,0.00833333333333334,288.5394736842105
100,2 events,LORD++,1e-05,0.0,1794.0,0.0,0.0,0.6666666666666666,803.3555555555556
100,2 events,LORD++,0.0001,0.0,1319.8333333333333,0.0,0.0,0.3416666666666666,663.15611946533
100,2 events,LORD++,0.001,0.0,622.3333333333334,0.0,0.0,0.09166666666666667,440.8733918128655
100,2 events,LORD++,0.01,0.0003546099290780142,361.5,0.008333333333333333,0.0035460992907801418,0.01666666666666668,334.1842105263158
100,2 events,LORD++,0.05,0.0010638297872340426,268.1666666666667,0.021739130434782608,0.0021670606776989757,0.0,268.1666666666667
100,2 events,LORD++,0.1,0.0014184397163120568,254.83333333333334,0.029675638371290544,0.007801418439716313,0.0,254.83333333333334
100,2 events,LORD++,0.2,0.005673758865248227,229.0,0.0992063492063492,0.016257432480836737,0.0,229.0
100,2 events,bh_window,1e-05,0.0,1036.5,0.0,0.0,0.26666666666666666,556.3753968253968
100,2 events,bh_window,0.0001,0.0,594.0,0.0,0.0,0.07500000000000001,453.7511574074074
100,2 events,bh_window,0.001,0.0,337.3333333333333,0.0,0.0,0.01666666666666668,307.6315789473684
100,2 events,bh_window,0.01,0.0017730496453900709,225.66666666666666,0.03333333333333333,0.008421985815602837,0.0,225.66666666666666
100,2 events,bh_window,0.05,0.00851063829787234,183.16666666666666,0.1349253506116251,0.024312271652697184,0.0,183.16666666666666
100,2 events,bh_window,0.1,0.015602836879432624,164.0,0.221276807483704,0.035614503699610084,0.0,164.0
100,2 events,bh_window,0.2,0.0375886524822695,152.33333333333334,0.37742342782665367,0.05887867058079824,0.0,152.33333333333334
100,2 events,bonferroni,1e-05,0.0,1263.1666666666667,0.0,0.0,0.35000000000000003,673.4144419306184
100,2 events,bonferroni,0.0001,0.0,707.3333333333334,0.0,0.0,0.11666666666666668,483.6844169246646
