window,min_p,n_below,n_streams,rho,seed
6,0.0012133792200262035,6,500,0.0,1
7,0.002719090729176643,6,500,0.0,1
8,0.0035860929744914506,4,500,0.0,1
9,0.004910378873570707,9,500,0.0,1
10,0.0031224019484225258,11,500,0.0,1
11,9.643471701591326e-05,13,500,0.0,1
12,5.217039507398363e-05,12,500,0.0,1
13,4.978507172686737e-05,9,500,0.0,1
14,8.66761866236003e-05,13,500,0.0,1
15,0.0001382436088039968,12,500,0.0,1
16,4.81750613076814e-05,13,500,0.0,1
17,9.117088711349155e-05,8,500,0.0,1
18,0.00015761926792679274,8,500,0.0,1
19,0.00013231205781846637,6,500,0.0,1
20,0.0002767621733786402,10,500,0.0,1
21,0.0009940413786971305,11,500,0.0,1
22,4.552279143604831e-05,7,500,0.0,1
23,4.150128610782604e-05,8,500,0.0,1
24,2.86120839397584e-05,8,500,0.0,1
25,0.000267260315526205,9,500,0.0,1
26,0.00027713591744862344,5,500,0.0,1
27,0.0003746884901465657,8,500,0.0,1
28,0.00011319721088968414,7,500,0.0,1
29,0.00020343460153032303,7,500,0.0,1
30,0.00044445347971375357,4,500,0.0,1
31,0.00014404270621340003,6,500,0.0,1
32,0.00010179591007176773,5,500,0.0,1
33,0.0003227538291269863,8,500,0.0,1
34,0.0010682925431405891,7,500,0.0,1
35,0.0007984510611505236,5,500,0.0,1
36,0.0006235303621514119,5,500,0.0,1
37,0.0005447306677036374,6,500,0.0,1
38,7.27983818726198e-05,5,500,0.0,1
39,0.000401574542360721,6,500,0.0,1
40,0.001632849316779922,7,500,0.0,1
41,0.0020987054785775046,8,500,0.0,1
42,9.965482489367449e-05,5,500,0.0,1
43,0.00014543631662536564,5,500,0.0,1
44,0.0014475052651349808,8,500,0.0,1
45,0.0013071015198976529,12,500,0.0,1
46,0.003266630551168077,10,500,0.0,1
0,0.0024534247612408534,4,500,0.0,6
1,0.0036239946515748502,6,500,0.0,6
2,0.005204881726038522,8,500,0.0,6
3,0.0009724432485736633,6,500,0.0,6
4,0.00045978559368818384,5,500,0.0,6
5,0.0005690962632357363,9,500,0.0,6
6,0.00017610088486816073,10,500,0.0,6
7,8.178097998424262e-05,10,500,0.0,6
8,9.467265868477483e-05,6,500,0.0,6
9,6.850373176759809e-06,2,500,0.0,6
10,1.154906145632455e-05,5,500,0.0,6
11,4.227475762852266e-05,9,500,0.0,6
12,0.00046450672125129887,10,500,0.0,6
13,0.00011986328942030834,13,500,0.0,6
14,0.00041654076141631885,14,500,0.0,6
15,0.00016232617092624458,8,500,0.0,6
16,6.063531576577219e-05,10,500,0.0,6
17,0.00029548912309002213,7,500,0.0,6
18,0.0024004286158451752,5,500,0.0,6
19,0.0005040662403276163,7,500,0.0,6
20,0.0009115912079166761,6,500,0.0,6
21,0.00022795937896608176,7,500,0.0,6
22,0.000163391991841908,8,500,0.0,6
23,0.0015089188992580028,8,500,0.0,6
24,0.0017586067694025619,8,500,0.0,6
25,0.00045611949876181733,9,500,0.0,6
26,0.0007087892852713637,5,500,0.0,6
27,0.00028978724615281727,8,500,0.0,6
28,0.0006432238651320497,10,500,0.0,6
